date,text_ru,text_uz,sentiment,promotional,like_count,dislike_count,cry_count,think_count,total_reactions,like_percent,dislike_percent,cry_percent,think_percent
2023-04-18 14:53:35,Дисциплинарный комитет Ассоциации футбола Узбекистана изучает конфликт между футболистами «Бунёдкора» и «Насафа».,"O'zbekiston futbol assotsiatsiyasi intizom qo'mitasi ""Bunyodkor"" va ""Nasaf""futbolchilari o'rtasidagi ziddiyatni o'rganmoqda.",positive,no,18,3,0,5,26,69.23076923076923,11.538461538461538,0.0,19.230769230769234
2023-04-18 14:34:03,Руководителем Главного управления благоустройства Ташкента назначен Рустам Юсупов. Эта должность оставалась вакантной после увольнения Анвара Умарова в конце января.,Rustam Yusupov Toshkent obodonlashtirish Bosh boshqarmasi rahbari etib tayinlandi. Yanvar oyi oxirida Anvar Umarov ishdan bo'shatilgandan keyin bu lavozim bo'sh qoldi.,positive,no,27,19,0,13,59,45.76271186440678,32.20338983050847,0.0,22.033898305084744
2023-04-18 13:46:29,"Китайская компания Yutong до конца года поставит в Самарканд 100 электробусов, в том числе 6 — в первой половине года и 94 — до конца третьего квартала. Всего планируется закупить 350 электробусов. В городе также планируется построить депо для электробусов.","Xitoyning Yutong kompaniyasi yil oxirigacha Samarqandga 100 ta elektr avtobus yetkazib beradi, shu jumladan yilning birinchi yarmida 6 ta va uchinchi chorak oxirigacha 94 ta. Hammasi bo'lib 350 ta elektr avtobus sotib olish rejalashtirilgan. Shaharda elektr avtobuslari uchun depo ham qurilishi rejalashtirilgan.",positive,no,98,17,0,7,122,80.32786885245902,13.934426229508196,0.0,5.737704918032787
2023-04-18 13:07:23,В Самаркандской области пытались продать 3 га земли лесного хозяйства за 25 тысяч долларов. «Продавец» задержан при получении аванса в 10 тысяч долларов.,"Samarqand viloyatida 3 gektar o'rmon xo'jaligi yerlarini 25 ming dollarga sotishga uringan. ""Sotuvchi"" 10 ming dollar avans olganida hibsga olingan.",positive,no,73,10,2,6,91,80.21978021978022,10.989010989010989,2.197802197802198,6.593406593406594
2023-04-18 11:27:11,"Отличные новости от компании Golden House

Девелопер предлагает ипотеку с годовой ставкой 0% на покупку квартиры в жилом комплексе Assalom Jomiy.

Теперь каждый желающий может приобрести жильё в удобном районе Ташкента на максимально выгодных условиях. 

С подробностями акции и условиями получения ипотеки можно ознакомиться в чат-боте компании. 

На правах рекламы.","Golden House kompaniyasining ajoyib yangiliklari

Ishlab chiquvchi Assalom Jomiy turar-joy majmuasida kvartira sotib olish uchun yillik 0% stavka bilan ipoteka kreditini taklif qiladi.

Endi har kim Toshkentning qulay tumanida eng qulay shartlarda uy-joy sotib olishi mumkin. 

Aksiya tafsilotlari va ipoteka olish shartlari bilan kompaniyaning chatbotida tanishishingiz mumkin. 

Reklama huquqi bilan.",negative,yes,16,65,0,5,86,18.6046511627907,75.5813953488372,0.0,5.813953488372093
2023-04-18 11:01:23,В Ханабаде Андижанской области мужчина ранил ножом сотрудника госоргана. Возбуждено уголовное дело по статье «покушение на умышленное убийство».,"Andijon viloyati Xonobodda bir kishi davlat organi xodimini pichoq bilan jarohatladi. ""Qasddan qotillikka urinish""moddasi bo'yicha jinoiy ish qo'zg'atildi.",negative,no,7,74,10,27,118,5.932203389830509,62.71186440677966,8.47457627118644,22.88135593220339
2023-04-18 10:08:13,"Турецкая авиакомпания AnаdоluJet открыла маршрут «Анкара — Ташкент — Анкара», который будет выполняться по понедельникам. Первым рейсом в Узбекистан прибыли 160 пассажиров.",Turkiyaning Anadolujet aviakompaniyasi dushanba kunlari o'tkaziladigan Anqara — Toshkent — Anqara yo'nalishini ochdi. O'zbekistonga birinchi reysda 160 yo'lovchi yetib keldi.,positive,no,118,6,0,0,124,95.16129032258065,4.838709677419355,0.0,0.0
2023-04-18 06:12:39,Бобур Усманов назначен новым заместителем министра иностранных дел Узбекистана.,Bobur Usmonov O'zbekiston tashqi ishlar vazirining yangi o'rinbosari etib tayinlandi.,positive,no,49,100,0,131,280,17.5,35.714285714285715,0.0,46.785714285714285
2023-04-17 23:45:49,Матч между командами «Бунёдкор» и «Насаф» закончился дракой футболистов на поле и в подтрибунном помещении. Конфликт продолжался около 10 минут при участии около 40−50 человек (видео).,"""Bunyodkor"" va ""Nasaf"" jamoalari o'rtasidagi o'yin futbolchilarning maydonda va subtribun binolaridagi janglari bilan yakunlandi. Mojaro taxminan 10 daqiqa davom etdi, taxminan 40-50 kishi ishtirok etdi (video).",negative,no,48,213,17,19,297,16.161616161616163,71.71717171717171,5.723905723905724,6.397306397306397
2023-04-17 22:09:31,"В соцсетях появилась запись с критикой качества строительства 9-этажного дома в Алмалыке. Автор видео указывает на тонкие прутья арматурного каркаса и большое расстояние между ними, а также плохое качество бетона. Минстрой Узбекистана сообщил, что работы остановлены, ведётся изучение.","Ijtimoiy tarmoqlarda Olmaliqda 9 qavatli uy qurilishi sifatini tanqid qiluvchi yozuv paydo bo'ldi. Video muallifi armatura ramkasining ingichka panjaralari va ular orasidagi katta masofa, shuningdek betonning yomon sifatiga ishora qiladi. O'zbekiston qurilish vazirligi ishlar to'xtatilganini, tadqiqotlar olib borilayotganini ma'lum qildi.",positive,no,319,12,16,35,382,83.50785340314137,3.1413612565445024,4.18848167539267,9.162303664921465
